Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	1502	-	0	0	0	0	0	0	6	50	0	0	0	0	0	0	0	0	0	0	92	55	0	0	0	2	0	0
fsh-generated/resources/Patient-PatientExample.json	250	12	1	0	0	1	0	0	0	29	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	597	13	0	0	0	0	0	114	0	67	0	0	1	0	0	0	0	2	0	0	270	1575	0	0	0	8	0	1
